Formation,Positions
4-4-2,"['Goalkeeper', 'Left Back', 'Centre Back', 'Centre Back', 'Right Back', 'Left Midfielder', 'Centre Midfielder', 'Centre Midfielder', 'Right Midfielder', 'Centre Forward', 'Centre Forward']"
4-3-3,"['Goalkeeper', 'Left Back', 'Centre Back', 'Centre Back', 'Right Back', 'Centre Midfielder', 'Centre Midfielder', 'Centre Midfielder', 'Left Wing Forward', 'Right Wing Forward', 'Centre Forward']"
3-5-2,"['Goalkeeper', 'Centre Back', 'Centre Back', 'Centre Back', 'Left Midfielder', 'Centre Midfielder', 'Centre Midfielder', 'Centre Midfielder', 'Right Midfielder', 'Centre Forward', 'Centre Forward']"
4-2-3-1,"['Goalkeeper', 'Left Back', 'Centre Back', 'Centre Back', 'Right Back', 'Defensive Midfielder', 'Defensive Midfielder', 'Attacking Midfielder', 'Left Midfielder', 'Right Midfielder', 'Centre Forward']"
4-1-4-1,"['Goalkeeper', 'Left Back', 'Centre Back', 'Centre Back', 'Right Back', 'Defensive Midfielder', 'Left Midfielder', 'Centre Midfielder', 'Centre Midfielder', 'Right Midfielder', 'Centre Forward']"
5-3-2,"['Goalkeeper', 'Left Back', 'Centre Back', 'Centre Back', 'Centre Back', 'Right Back', 'Centre Midfielder', 'Centre Midfielder', 'Centre Midfielder', 'Second Striker', 'Centre Forward']"
3-4-3,"['Goalkeeper', 'Centre Back', 'Centre Back', 'Centre Back', 'Right Midfielder', 'Centre Midfielder', 'Centre Midfielder', 'Left Midfielder', 'Right Wing Forward', 'Centre Forward', 'Left Wing Forward']"
4-4-1-1,"['Goalkeeper', 'Left Back', 'Centre Back', 'Centre Back', 'Right Back', 'Left Midfielder', 'Centre Midfielder', 'Centre Midfielder', 'Right Midfielder', 'Attacking Midfielder', 'Centre Forward']"
4-3-1-2,"['Goalkeeper', 'Left Back', 'Centre Back', 'Centre Back', 'Right Back', 'Left Midfielder', 'Centre Midfielder', 'Right Midfielder', 'Attacking Midfielder', 'Centre Forward', 'Centre Forward']"
4-2-2-2,"['Goalkeeper', 'Left Back', 'Centre Back', 'Centre Back', 'Right Back', 'Defensive Midfielder', 'Defensive Midfielder', 'Attacking Midfielder', 'Attacking Midfielder', 'Centre Forward', 'Centre Forward']"
4-3-2-1,"['Goalkeeper', 'Left Back', 'Centre Back', 'Centre Back', 'Right Back', 'Left Midfielder', 'Centre Midfielder', 'Right Midfielder', 'Attacking Midfielder', 'Attacking Midfielder', 'Centre Forward']"
3-5-1-1,"['Goalkeeper', 'Centre Back', 'Centre Back', 'Centre Back', 'Left Midfielder', 'Centre Midfielder', 'Centre Midfielder', 'Centre Midfielder', 'Right Midfielder', 'Second Striker', 'Centre Forward']"
4-1-3-2,"['Goalkeeper', 'Left Back', 'Centre Back', 'Centre Back', 'Right Back', 'Defensive Midfielder', 'Left Midfielder', 'Centre Midfielder', 'Right Midfielder', 'Second Striker', 'Centre Forward']"
4-4-2 Diamond,"['Goalkeeper', 'Left Back', 'Centre Back', 'Centre Back', 'Right Back', 'Left Midfielder', 'Right Midfielder', 'Defensive Midfielder', 'Attacking Midfielder', 'Centre Forward', 'Centre Forward']"
5-2-1-2,"['Goalkeeper', 'Left Back', 'Centre Back', 'Centre Back', 'Centre Back', 'Right Back', 'Defensive Midfielder', 'Defensive Midfielder', 'Attacking Midfielder', 'Centre Forward', 'Centre Forward']"
4-3-3 (Attack),"['Goalkeeper', 'Left Back', 'Centre Back', 'Centre Back', 'Right Back', 'Centre Midfielder', 'Centre Midfielder', 'Attacking Midfielder', 'Left Wing Forward', 'Right Wing Forward', 'Centre Forward']"
4-1-2-1-2,"['Goalkeeper', 'Left Back', 'Centre Back', 'Centre Back', 'Right Back', 'Defensive Midfielder', 'Left Midfielder', 'Right Midfielder', 'Attacking Midfielder', 'Centre Forward']"
3-4-2-1,"['Goalkeeper', 'Centre Back', 'Centre Back', 'Centre Back', 'Left Midfielder', 'Centre Midfielder', 'Centre Midfielder', 'Right Midfielder', 'Attacking Midfielder', 'Attacking Midfielder', 'Centre Forward']"
